width,pageviews
1140,17555
1300,27425
1780,5188
760,6072
1260,634741
2280,187
660,7689
1610,4026
490,1152
1830,3148
690,4509
1770,2150
1540,20674
2610,3820
1070,9418
1370,144588
540,923
340,4185
400,1188
810,11489
930,6618
1670,8475
1460,9788
2550,2367
1090,10516
990,7035
1310,23365
1790,12885
670,7924
1150,18131
710,11453
1490,30524
1700,4880
1550,5132
1060,10494
1820,2027
410,635930
530,1809
1410,27289
370,268
1380,24123
820,6122
290,79
1660,33026
590,1443
1320,37427
1080,40417
1120,12265
980,8629
700,7150
50,103
1920,33229
950,7314
390,100202
230,1578
830,13171
2540,24690
790,15156
1850,2819
2380,1444
1520,353004
1250,33908
420,11174
1650,7241
1400,30123
1010,33869
910,6561
360,306607
1390,22463
440,278
1230,23930
1100,12426
580,71
2050,2222
300,1453
1130,11497
1330,30314
380,417714
920,5744
1930,156
240,76
900,5182
780,6848
1640,3922
1430,78306
840,5472
1840,8025
1720,3066
1240,27272
1730,8157
510,1611
430,38448
1000,7184
620,8624
1220,24074
1340,30406
570,1173
330,677
60,128
2480,103
1870,4094
1900,557994
1630,4356
1420,76023
850,4240
1980,103
970,6330
2560,5244
1580,71693
730,6233
1500,18158
650,3171
2110,6650
1030,9386
480,984
500,72
630,2853
1210,16565
750,17106
1350,456591
460,917
550,338
1860,4613
2180,639
1590,22013
1910,22185
2140,80
10,174
1620,5339
960,8635
1020,64380
40,52
860,3756
1180,23566
1480,18719
1450,10001
720,11094
1740,2875
1510,10347
1570,4763
740,7318
880,3485
1160,12832
600,8083
1200,34649
1890,5619
1050,9365
1810,4131
2130,326
640,3887
1190,28317
2000,491
870,3838
1110,21354
320,83389
1690,14809
2030,9532
1560,4461
1290,21944
1750,2879
890,4018
770,27374
1170,14737
1270,47047
610,1001
1530,4864
450,229
1710,3253
2530,352
1880,3043
1040,9776
1280,112653
1800,4573
1600,10926
2080,331
940,24386
2240,94
1680,29248
1470,7905
1440,372676
1360,22184
350,2879
1760,3036
800,16555
680,6553
